"","Stimulus","X","Subject","Trial","Block","ACC","RT","Sex","RTlog","cTrial","condition","WordGender"
"60","agent",26965,409,162,7,1,892,"female",6.79346613258001,1.3253677495412,"male-real","male"
"61","agent",10847,206,189,4,1,608,"female",6.41017488196617,1.81012584044303,"female-real","male"
"62","agent",9432,204,79,2,1,442,"female",6.0913098820777,-0.164814529897742,"none","male"
"63","agent",16592,304,11,7,1,1107,"male",7.00940893270864,-1.38568675883567,"female-real","male"
"64","agent",16481,303,156,7,1,556,"female",6.32076829425058,1.2176437293408,"female-real","male"
"65","agent",18372,307,16,2,1,564,"male",6.33505425149806,-1.295916742002,"none","male"
"66","agent",18371,307,16,2,1,564,"male",6.33505425149806,-1.295916742002,"none","male"
"67","agent",25332,407,8,4,1,797,"female",6.68085467879022,-1.43954876893588,"female-real","male"
"68","agent",14107,212,127,7,1,733,"male",6.59714570188665,0.696977631705503,"male-real","male"
"69","agent",16729,304,52,2,1,726,"male",6.5875500148248,-0.649572620799567,"none","male"
"70","agent",5175,110,17,7,1,842,"male",6.73578001424233,-1.27796273863527,"female-real","male"
"71","agent",17407,305,74,2,1,589,"female",6.37842618365159,-0.254584546731413,"none","male"
"72","agent",1294,103,49,2,1,717,"female",6.57507584059962,-0.70343463089977,"none","male"
"73","agent",16593,304,11,7,1,1107,"male",7.00940893270864,-1.38568675883567,"female-real","male"
"74","agent",1610,103,164,7,1,937,"female",6.84268328223842,1.36127575627467,"female-real","male"
"75","agent",16591,304,11,7,1,1107,"male",7.00940893270864,-1.38568675883567,"female-real","male"
"76","agent",17404,305,73,4,1,667,"female",6.50279004591562,-0.272538550098148,"male-real","male"
"77","agent",17409,305,74,2,1,589,"female",6.37842618365159,-0.254584546731413,"none","male"
"78","agent",22440,402,3,2,1,478,"female",6.16961073249146,-1.52931878576955,"none","male"
"79","agent",20309,310,67,2,1,561,"female",6.3297209055227,-0.380262570298553,"none","male"
"80","agent",600,102,7,7,1,574,"male",6.35262939631957,-1.45750277230261,"female-real","male"
"81","agent",10878,207,4,7,1,847,"female",6.74170069465205,-1.51136478240281,"male-real","male"
"82","agent",10266,205,187,7,1,791,"female",6.67329796776765,1.77421783370956,"male-real","male"
"83","agent",27265,410,52,7,1,673,"male",6.51174532964473,-0.649572620799567,"male-real","male"
"84","agent",11512,208,17,2,1,779,"female",6.65801104587075,-1.27796273863527,"none","male"
"85","agent",23906,404,82,2,1,440,"female",6.08677472691231,-0.110952519797539,"none","male"
"86","agent",13149,211,16,4,1,771,"male",6.64768837356333,-1.295916742002,"female-real","male"
"87","agent",6470,112,59,4,1,631,"male",6.44730586254121,-0.523894597232427,"male-real","male"
"88","agent",19876,309,114,7,1,701,"female",6.55250788703459,0.463575587937958,"female-real","male"
"89","agent",5173,110,17,7,1,842,"male",6.73578001424233,-1.27796273863527,"female-real","male"
"90","agent",13148,211,16,4,1,771,"male",6.64768837356333,-1.295916742002,"female-real","male"
"91","agent",21990,401,38,2,1,717,"female",6.57507584059962,-0.900928667933847,"none","male"
"92","agent",7129,113,89,2,0,484,"male",6.18208490671663,0.0147255037696009,"none","male"
"93","agent",8333,202,97,2,1,686,"male",6.53087762772588,0.158357530703475,"none","male"
"94","agent",17208,305,22,7,1,601,"female",6.39859493453521,-1.1881927218016,"female-real","male"
"95","agent",2512,105,79,2,1,623,"female",6.43454651878745,-0.164814529897742,"none","male"
"96","agent",1293,103,49,2,1,717,"female",6.57507584059962,-0.70343463089977,"none","male"
"97","agent",15052,301,75,2,0,817,"female",6.70563909486,-0.236630543364679,"none","male"
"98","agent",24135,404,190,7,1,470,"female",6.1527326947041,1.82807984380976,"male-real","male"
"99","agent",21915,401,13,4,1,597,"female",6.3919171133926,-1.3497787521022,"female-real","male"
"100","agent",27058,410,4,4,1,1020,"male",6.92755790627832,-1.51136478240281,"female-real","male"
"101","agent",6469,112,59,4,1,631,"male",6.44730586254121,-0.523894597232427,"male-real","male"
"102","agent",7213,113,123,4,1,574,"male",6.35262939631957,0.625161618238566,"male-real","male"
"103","agent",7723,201,92,2,1,447,"female",6.10255859461357,0.0685875138698037,"none","male"
"104","agent",10394,206,39,2,1,576,"female",6.35610766069589,-0.882974664567113,"none","male"
"105","agent",12234,209,69,2,1,648,"female",6.47389069635227,-0.344354563565085,"none","male"
"106","agent",8284,202,85,4,1,593,"male",6.38519439899773,-0.0570905096973362,"female-real","male"
"107","agent",25497,407,58,7,1,1108,"female",7.01031186730723,-0.541848600599162,"male-real","male"
"108","agent",25498,407,58,7,1,1108,"female",7.01031186730723,-0.541848600599162,"male-real","male"
"109","agent",9896,205,55,4,1,889,"female",6.7900972355139,-0.595710610699364,"female-real","male"
"110","agent",28327,412,43,7,1,505,"male",6.22455842927536,-0.811158651100176,"male-real","male"
"111","agent",14108,212,127,7,1,733,"male",6.59714570188665,0.696977631705503,"male-real","male"
"112","agent",17405,305,73,4,1,667,"female",6.50279004591562,-0.272538550098148,"male-real","male"
"113","agent",7439,201,15,4,1,661,"female",6.49375383985169,-1.31387074536874,"female-real","male"
"114","agent",1868,104,47,2,1,580,"female",6.36302810354046,-0.739342637633239,"none","male"
"115","agent",508,101,159,4,1,565,"female",6.33682573114644,1.271505739441,"male-real","male"
"116","agent",24749,406,4,7,1,952,"male",6.85856503479136,-1.51136478240281,"male-real","male"
"117","agent",12097,209,27,7,1,995,"female",6.90274273715859,-1.09842270496792,"male-real","male"
"118","agent",24177,405,5,2,1,588,"female",6.37672694789863,-1.49341077903608,"none","male"
"119","agent",11799,208,97,4,1,418,"female",6.03548143252476,0.158357530703475,"female-real","male"
"120","agent",20486,310,116,4,1,644,"female",6.46769872610435,0.499483594671426,"male-real","male"
"121","agent",26966,409,162,7,1,892,"female",6.79346613258001,1.3253677495412,"male-real","male"
"122","agent",16482,303,156,7,1,556,"female",6.32076829425058,1.2176437293408,"female-real","male"
"123","agent",19346,308,148,7,1,636,"female",6.45519856334012,1.07401170240692,"female-real","male"
"124","agent",4524,108,194,4,1,888,"female",6.78897174299217,1.8998958572767,"male-real","male"
"125","agent",3616,107,72,2,1,531,"female",6.27476202124194,-0.290492553464882,"none","male"
"126","agent",23905,404,82,2,1,440,"female",6.08677472691231,-0.110952519797539,"none","male"
"127","agent",24567,405,111,7,1,673,"female",6.51174532964473,0.409713577837755,"male-real","male"
"128","agent",27787,411,52,7,1,696,"male",6.54534966033442,-0.649572620799567,"male-real","male"
"129","agent",13171,211,20,7,1,650,"male",6.47697236288968,-1.22410072853506,"male-real","male"
"130","agent",3361,106,194,4,1,644,"female",6.46769872610435,1.8998958572767,"male-real","male"
"131","agent",10395,206,39,2,1,576,"female",6.35610766069589,-0.882974664567113,"none","male"
"132","agent",16728,304,52,2,1,726,"male",6.5875500148248,-0.649572620799567,"none","male"
"133","agent",24750,406,4,7,1,952,"male",6.85856503479136,-1.51136478240281,"male-real","male"
"134","agent",1635,103,180,4,1,620,"female",6.42971947803914,1.64853981014242,"male-real","male"
"135","agent",28326,412,43,7,1,505,"male",6.22455842927536,-0.811158651100176,"male-real","male"
"136","agent",11510,208,17,2,1,779,"female",6.65801104587075,-1.27796273863527,"none","male"
"137","agent",4024,108,19,7,1,538,"female",6.28785856016178,-1.2420547319018,"female-real","male"
"138","agent",14356,213,37,2,1,502,"male",6.21860011969173,-0.918882671300581,"none","male"
"139","agent",5174,110,17,7,1,842,"male",6.73578001424233,-1.27796273863527,"female-real","male"
"140","agent",26173,408,75,4,1,675,"female",6.51471269087253,-0.236630543364679,"female-real","male"
"141","agent",3615,107,72,2,1,531,"female",6.27476202124194,-0.290492553464882,"none","male"
"142","agent",14618,213,106,7,1,661,"male",6.49375383985169,0.319943561004083,"male-real","male"
"143","agent",20531,310,145,7,1,580,"female",6.36302810354046,1.02014969230672,"female-real","male"
"144","agent",26686,409,56,2,1,662,"female",6.49526555593701,-0.57775660733263,"none","male"
"145","agent",27901,411,85,4,1,831,"male",6.72262979485545,-0.0570905096973362,"female-real","male"
"146","agent",27652,411,10,2,1,505,"male",6.22455842927536,-1.40364076220241,"none","male"
"147","agent",10393,206,39,2,1,576,"female",6.35610766069589,-0.882974664567113,"none","male"
"148","agent",12098,209,27,7,1,995,"female",6.90274273715859,-1.09842270496792,"male-real","male"
"149","agent",21949,401,23,7,1,1077,"female",6.98193467715639,-1.17023871843486,"male-real","male"
"150","agent",7440,201,15,4,1,661,"female",6.49375383985169,-1.31387074536874,"female-real","male"
"151","agent",8356,202,104,7,1,627,"male",6.44094654063292,0.284035554270615,"male-real","male"
"152","agent",11188,207,87,4,1,484,"female",6.18208490671663,-0.0211825029638677,"female-real","male"
"153","agent",24748,406,4,7,1,952,"male",6.85856503479136,-1.51136478240281,"male-real","male"
"154","agent",24178,405,5,2,1,588,"female",6.37672694789863,-1.49341077903608,"none","male"
"155","agent",2642,105,125,7,1,603,"female",6.40191719672719,0.661069624972035,"female-real","male"
"156","agent",19238,308,98,2,1,922,"female",6.82654522355659,0.176311534070209,"none","male"
"157","agent",7724,201,92,2,1,447,"female",6.10255859461357,0.0685875138698037,"none","male"
"158","agent",8659,203,32,2,1,473,"female",6.15909538849193,-1.00865268813425,"none","male"
"159","agent",9433,204,79,2,1,442,"female",6.0913098820777,-0.164814529897742,"none","male"
"160","agent",5978,111,87,4,1,571,"female",6.34738920965601,-0.0211825029638677,"male-real","male"
"161","agent",16268,303,77,4,1,642,"female",6.46458830368996,-0.20072253663121,"male-real","male"
"162","agent",28491,412,90,2,1,619,"male",6.4281052726846,0.0326795071363351,"none","male"
"163","agent",4231,108,77,2,1,515,"female",6.24416690066374,-0.20072253663121,"none","male"
"164","agent",14358,213,37,2,1,502,"male",6.21860011969173,-0.918882671300581,"none","male"
"165","agent",5611,110,171,4,1,581,"male",6.36475075685191,1.48695377984181,"male-real","male"
"166","agent",26174,408,75,4,1,675,"female",6.51471269087253,-0.236630543364679,"female-real","male"
"167","agent",13172,211,20,7,1,650,"male",6.47697236288968,-1.22410072853506,"male-real","male"
"168","agent",11190,207,87,4,1,484,"female",6.18208490671663,-0.0211825029638677,"female-real","male"
"169","agent",39,101,10,2,1,473,"female",6.15909538849193,-1.40364076220241,"none","male"
"170","agent",27654,411,10,2,1,505,"male",6.22455842927536,-1.40364076220241,"none","male"
"171","agent",19875,309,114,7,1,701,"female",6.55250788703459,0.463575587937958,"female-real","male"
"172","agent",17408,305,74,2,1,589,"female",6.37842618365159,-0.254584546731413,"none","male"
"173","agent",4580,109,22,2,1,592,"female",6.38350663488401,-1.1881927218016,"none","male"
"174","agent",14357,213,37,2,1,502,"male",6.21860011969173,-0.918882671300581,"none","male"
"175","agent",5612,110,171,4,1,581,"male",6.36475075685191,1.48695377984181,"male-real","male"
"176","agent",15991,302,188,7,1,705,"female",6.55819780281227,1.79217183707629,"female-real","male"
"177","agent",2938,106,40,2,1,632,"female",6.44888939414686,-0.865020661200379,"none","male"
"178","agent",18506,307,47,4,1,641,"male",6.46302945692067,-0.739342637633239,"male-real","male"
"179","agent",18724,307,125,7,1,879,"male",6.77878489768518,0.661069624972035,"female-real","male"
"180","agent",625,102,14,2,1,567,"male",6.34035930372775,-1.33182474873547,"none","male"
"181","agent",11511,208,17,2,1,779,"female",6.65801104587075,-1.27796273863527,"none","male"
"182","agent",11189,207,87,4,1,484,"female",6.18208490671663,-0.0211825029638677,"female-real","male"
"183","agent",23120,403,35,2,1,765,"female",6.63987583382654,-0.95479067803405,"none","male"
"184","agent",21569,312,82,4,1,577,"male",6.3578422665081,-0.110952519797539,"male-real","male"
"185","agent",8334,202,97,2,1,686,"male",6.53087762772588,0.158357530703475,"none","male"
"186","agent",11940,208,163,7,1,642,"female",6.46458830368996,1.34332175290794,"male-real","male"
"187","agent",26917,409,143,4,1,652,"female",6.48004456192665,0.984241685573252,"female-real","male"
"188","agent",15990,302,188,7,1,705,"female",6.55819780281227,1.79217183707629,"female-real","male"
