"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"196","agent",8646,8,48,"male","2",1,788,6.66949808985788,-0.643989403542724,"none","male"
"197","agent",7348,7,38,"female","4",1,634,6.45204895443723,-0.829777789567283,"male-real","male"
"198","agent",12766,11,137,"female","4",1,755,6.62671774924902,1.00952723207585,"male-real","male"
"199","agent",32558,28,135,"male","7",1,934,6.83947643822884,0.972369554870937,"female-real","male"
"200","agent",17553,15,181,"female","4",1,789,6.67076632084587,1.82699613058391,"male-real","male"
"201","agent",4025,4,63,"male","2",1,692,6.53958595561767,-0.365306824505886,"none","male"
"202","agent",14591,13,52,"female","2",1,655,6.48463523563525,-0.5696740491329,"none","male"
"203","agent",23347,20,167,"female","7",1,923,6.82762923450285,1.56689239014952,"female-real","male"
"204","agent",17453,15,149,"female","7",1,1224,7.10987946307227,1.23247329530532,"female-real","male"
"205","agent",10382,9,129,"male","7",1,713,6.5694814204143,0.860896523256202,"male-real","male"
"206","agent",11257,10,76,"female","2",0,823,6.71295620067707,-0.12378192267396,"none","male"
"207","agent",13255,12,33,"female","2",1,731,6.59441345974978,-0.922671982579562,"none","male"
"208","agent",13730,12,90,"female","4",1,1103,7.0057890192535,0.136321817760423,"male-real","male"
"209","agent",1552,2,49,"female","2",1,613,6.41836493593621,-0.625410564940268,"none","male"
"210","agent",23872,21,51,"female","2",1,776,6.65415252018322,-0.588252887735356,"none","male"
"211","agent",30394,26,157,"male","4",1,666,6.50128967054039,1.38110400412497,"female-real","male"
"212","agent",14965,13,98,"female","7",1,759,6.63200177739563,0.28495252658007,"male-real","male"
"213","agent",30393,26,157,"male","4",1,666,6.50128967054039,1.38110400412497,"female-real","male"
"214","agent",17552,15,181,"female","4",1,789,6.67076632084587,1.82699613058391,"male-real","male"
"215","agent",4813,5,17,"female","7",1,642,6.46458830368996,-1.21993340021886,"male-real","male"
"216","agent",14592,13,52,"female","2",1,655,6.48463523563525,-0.5696740491329,"none","male"
"217","agent",11875,11,8,"female","2",1,641,6.46302945692067,-1.38714294764096,"none","male"
"218","agent",21338,19,26,"female","4",1,537,6.28599809450886,-1.05272385279675,"male-real","male"
"219","agent",27952,24,133,"female","4",1,742,6.60934924316738,0.935211877666025,"male-real","male"
"220","agent",22109,19,143,"female","7",1,960,6.86693328446188,1.12100026369058,"female-real","male"
"221","agent",22110,19,143,"female","7",1,960,6.86693328446188,1.12100026369058,"female-real","male"
"222","agent",7347,7,38,"female","4",1,634,6.45204895443723,-0.829777789567283,"male-real","male"
"223","agent",23870,21,51,"female","2",1,776,6.65415252018322,-0.588252887735356,"none","male"
"224","agent",6403,6,66,"female","2",1,636,6.45519856334012,-0.309570308698518,"none","male"
"225","agent",8645,8,48,"male","2",1,788,6.66949808985788,-0.643989403542724,"none","male"
"226","agent",688,1,86,"female","2",0,482,6.1779441140506,0.0620064633505992,"none","male"
"227","agent",24620,21,193,"female","4",1,727,6.58892647753352,2.04994219381338,"female-real","male"
"228","agent",5066,5,49,"female","2",1,572,6.3491389913798,-0.625410564940268,"none","male"
"229","agent",4023,4,63,"male","2",1,692,6.53958595561767,-0.365306824505886,"none","male"
"230","agent",22402,20,13,"female","2",1,806,6.69208374250663,-1.29424875462868,"none","male"
"231","agent",22404,20,13,"female","2",1,806,6.69208374250663,-1.29424875462868,"none","male"
"232","agent",32557,28,135,"male","7",1,934,6.83947643822884,0.972369554870937,"female-real","male"
"233","agent",14953,13,97,"female","4",1,652,6.48004456192665,0.266373687977614,"female-real","male"
"234","agent",21340,19,26,"female","4",1,537,6.28599809450886,-1.05272385279675,"male-real","male"
"235","agent",13257,12,33,"female","2",1,731,6.59441345974978,-0.922671982579562,"none","male"
"236","agent",20377,18,55,"female","4",1,634,6.45204895443723,-0.513937533325533,"female-real","male"
"237","agent",26906,23,162,"female","4",0,644,6.46769872610435,1.47399819713725,"male-real","male"
"238","agent",26905,23,162,"female","4",0,644,6.46769872610435,1.47399819713725,"male-real","male"
"239","agent",29852,26,62,"male","2",1,588,6.37672694789863,-0.383885663108342,"none","male"
"240","agent",31597,27,173,"female","7",1,561,6.3297209055227,1.67836542176426,"female-real","male"
"241","agent",11683,10,161,"female","7",0,666,6.50128967054039,1.45541935853479,"male-real","male"
"242","agent",7869,7,100,"female","7",1,575,6.35437004079735,0.322110203784981,"female-real","male"
"243","agent",14954,13,97,"female","4",1,652,6.48004456192665,0.266373687977614,"female-real","male"
"244","agent",18665,16,163,"female","7",1,693,6.5410299991899,1.4925770357397,"female-real","male"
"245","agent",27953,24,133,"female","4",1,742,6.60934924316738,0.935211877666025,"male-real","male"
"246","agent",15780,14,60,"female","2",1,747,6.61606518513282,-0.421043340313253,"none","male"
"247","agent",31475,27,140,"female","4",1,665,6.49978704065585,1.06526374788322,"male-real","male"
"248","agent",3723,4,29,"male","7",1,876,6.77536609093639,-0.996987336989386,"female-real","male"
"249","agent",23871,21,51,"female","2",1,776,6.65415252018322,-0.588252887735356,"none","male"
"250","agent",20376,18,55,"female","4",1,634,6.45204895443723,-0.513937533325533,"female-real","male"
"251","agent",1168,1,192,"female","4",0,477,6.16751649088834,2.03136335521092,"female-real","male"
"252","agent",14964,13,98,"female","7",1,759,6.63200177739563,0.28495252658007,"male-real","male"
"253","agent",687,1,86,"female","2",0,482,6.1779441140506,0.0620064633505992,"none","male"
"254","agent",24619,21,193,"female","4",1,727,6.58892647753352,2.04994219381338,"female-real","male"
"255","agent",4812,5,17,"female","7",1,642,6.46458830368996,-1.21993340021886,"male-real","male"
"256","agent",21339,19,26,"female","4",1,537,6.28599809450886,-1.05272385279675,"male-real","male"
"257","agent",31596,27,173,"female","7",1,561,6.3297209055227,1.67836542176426,"female-real","male"
"258","agent",15781,14,60,"female","2",1,747,6.61606518513282,-0.421043340313253,"none","male"
"259","agent",21049,18,173,"female","7",1,870,6.76849321164863,1.67836542176426,"male-real","male"
"260","agent",17452,15,149,"female","7",1,1224,7.10987946307227,1.23247329530532,"female-real","male"
"261","agent",10381,9,129,"male","7",1,713,6.5694814204143,0.860896523256202,"male-real","male"
"262","agent",11876,11,8,"female","2",1,641,6.46302945692067,-1.38714294764096,"none","male"
"263","agent",8644,8,48,"male","2",1,788,6.66949808985788,-0.643989403542724,"none","male"
"264","agent",29850,26,62,"male","2",1,588,6.37672694789863,-0.383885663108342,"none","male"
"265","agent",7868,7,100,"female","7",1,575,6.35437004079735,0.322110203784981,"female-real","male"
"266","agent",25112,22,56,"female","4",1,565,6.33682573114644,-0.495358694723077,"female-real","male"
"267","agent",25113,22,56,"female","4",1,565,6.33682573114644,-0.495358694723077,"female-real","male"
"268","agent",6402,6,66,"female","2",1,636,6.45519856334012,-0.309570308698518,"none","male"
"269","agent",3409,3,160,"female","7",1,620,6.42971947803914,1.43684051993233,"female-real","male"
"270","agent",29120,25,129,"female","7",1,642,6.46458830368996,0.860896523256202,"male-real","male"
"271","agent",1851,2,82,"female","7",1,757,6.62936325343745,-0.0123088910592243,"male-real","male"
"272","agent",2314,2,184,"female","4",1,654,6.4831073514572,1.88273264639127,"female-real","male"
"273","agent",29132,25,133,"female","4",1,764,6.63856778916652,0.935211877666025,"female-real","male"
"274","agent",13942,12,133,"female","7",1,799,6.68336094576627,0.935211877666025,"female-real","male"
"275","agent",13256,12,33,"female","2",1,731,6.59441345974978,-0.922671982579562,"none","male"
"276","agent",689,1,86,"female","2",0,482,6.1779441140506,0.0620064633505992,"none","male"
"277","agent",29133,25,133,"female","4",1,764,6.63856778916652,0.935211877666025,"female-real","male"
"278","agent",6673,6,98,"female","4",1,564,6.33505425149806,0.28495252658007,"female-real","male"
"279","agent",7349,7,38,"female","4",1,634,6.45204895443723,-0.829777789567283,"male-real","male"
"280","agent",20309,18,46,"female","2",1,473,6.15909538849193,-0.681147080747636,"none","male"
"281","agent",23346,20,167,"female","7",1,923,6.82762923450285,1.56689239014952,"female-real","male"
"282","agent",4635,4,184,"male","4",1,597,6.3919171133926,1.88273264639127,"male-real","male"
"283","agent",6771,6,119,"female","7",0,576,6.35610766069589,0.675108137231643,"male-real","male"
"284","agent",14952,13,97,"female","4",1,652,6.48004456192665,0.266373687977614,"female-real","male"
"285","agent",5286,5,74,"female","4",1,585,6.37161184723186,-0.160939599878871,"female-real","male"
"286","agent",5287,5,74,"female","4",1,585,6.37161184723186,-0.160939599878871,"female-real","male"
"287","agent",5068,5,49,"female","2",1,572,6.3491389913798,-0.625410564940268,"none","male"
"288","agent",19530,17,93,"male","2",1,487,6.18826412308259,0.19205833356779,"none","male"
"289","agent",4024,4,63,"male","2",1,692,6.53958595561767,-0.365306824505886,"none","male"
"290","agent",10535,9,170,"male","4",1,613,6.41836493593621,1.62262890595689,"female-real","male"
"291","agent",26530,23,83,"female","2",1,426,6.05443934626937,0.00626994754323157,"none","male"
"292","agent",26200,23,43,"female","7",1,611,6.4150969591716,-0.736883596555003,"female-real","male"
"293","agent",18664,16,163,"female","7",1,693,6.5410299991899,1.4925770357397,"female-real","male"
"294","agent",6672,6,98,"female","4",1,564,6.33505425149806,0.28495252658007,"female-real","male"
"295","agent",6671,6,98,"female","4",1,564,6.33505425149806,0.28495252658007,"female-real","male"
"296","agent",26199,23,43,"female","7",1,611,6.4150969591716,-0.736883596555003,"female-real","male"
"297","agent",25100,22,55,"female","7",1,532,6.27664348934164,-0.513937533325533,"male-real","male"
"298","agent",7867,7,100,"female","7",1,575,6.35437004079735,0.322110203784981,"female-real","male"
"299","agent",32323,28,84,"male","2",1,666,6.50128967054039,0.0248487861456874,"none","male"
"300","agent",18691,16,170,"female","4",1,979,6.88653164253051,1.62262890595689,"male-real","male"
"301","agent",30236,26,113,"male","7",0,591,6.3818160174061,0.563635105616908,"male-real","male"
